timestamp,rssi,ping,loss,jitter,speed,network_usage,hour,label
2026-03-26 22:23:53.803293,-41,31.1,0.0,9.8,7.01,2663846345,22,1
2026-03-26 22:23:53.803312,-42,110.0,0.0,26.4,7.01,2680224719,22,1
2026-03-26 22:23:53.803331,-42,42.8,0.0,28.9,7.01,2697894097,22,1
2026-03-26 22:23:53.803349,-42,44.1,0.0,17.1,7.01,2716264197,22,1
2026-03-26 22:23:53.803368,-42,45.9,0.0,10.5,7.01,2738516419,22,1
2026-03-26 22:23:53.803387,-42,66.9,0.0,37.3,7.01,2761437048,22,1
2026-03-26 22:23:53.803405,-42,47.0,0.0,10.6,5.82,2776412241,22,1
2026-03-26 22:23:53.803423,-42,36.1,0.0,48.0,5.82,2875488380,22,1
2026-03-26 22:23:53.803442,-42,37.0,0.0,7.5,5.82,2898604566,22,1
2026-03-26 22:23:53.803460,-42,36.8,0.0,9.4,5.82,2921755975,22,1
2026-03-26 22:23:53.803478,-42,33.6,0.0,10.5,5.82,2945496592,22,1
2026-03-26 22:23:53.803497,-42,35.0,0.0,12.5,5.82,2968941383,22,1
2026-03-26 22:23:53.803515,-42,65.2,0.0,56.8,5.82,2987325220,22,1
2026-03-26 22:23:53.803533,-42,64.4,0.0,98.5,5.82,3001976092,22,1
2026-03-26 22:23:53.803552,-42,34.2,0.0,11.5,5.82,3024985634,22,1
2026-03-26 22:23:53.803570,-42,52.0,0.0,15.3,5.82,3044758251,22,1
2026-03-26 22:23:53.803589,-42,109.3,25.0,215.5,10.53,3072593037,22,1
2026-03-26 22:23:53.803608,-42,29.1,0.0,27.7,10.53,3223898186,22,0
2026-03-26 22:23:53.803627,-42,78.2,0.0,89.8,10.53,3242692949,22,1
2026-03-26 22:23:53.803646,-42,42.1,0.0,14.9,10.53,3261999936,22,0
2026-03-26 22:23:53.803664,-42,205.0,0.0,417.3,10.53,3282743781,22,1
2026-03-26 22:23:53.803694,-42,32.9,0.0,21.7,10.53,3304284990,22,0
2026-03-26 22:23:53.803713,-42,45.2,0.0,48.4,10.53,3323163825,22,1
2026-03-26 22:23:53.803731,-42,39.0,0.0,18.5,10.53,3346168535,22,0
2026-03-26 22:23:53.803749,-42,63.9,25.0,24.3,10.53,3372168477,22,1
2026-03-26 22:23:53.803768,-42,70.7,0.0,36.2,10.53,3393450208,22,1
2026-03-26 22:23:53.803787,-42,43.1,0.0,10.2,6.49,3416351474,22,1
2026-03-26 22:23:53.803806,-41,47.4,0.0,9.7,6.49,3524505460,22,1
2026-03-26 22:23:53.803824,-42,54.1,0.0,12.4,6.49,3546680392,22,1
2026-03-26 22:23:53.803843,-42,47.3,0.0,7.5,6.49,3569979837,22,1
2026-03-26 22:23:53.803862,-42,34.6,0.0,5.0,6.49,3594036460,22,1
2026-03-26 22:23:53.803880,-42,48.4,0.0,18.7,6.49,3618236537,22,1
2026-03-26 22:23:53.803899,-42,45.5,0.0,17.3,6.49,3641739896,22,1
2026-03-26 22:23:53.803918,-42,35.6,0.0,18.1,6.49,3657987516,22,1
2026-03-26 22:23:53.803936,-42,48.4,0.0,42.3,6.49,3680021399,22,1
2026-03-26 22:23:53.803955,-42,86.0,25.0,105.0,6.49,3704098107,22,1
2026-03-26 22:23:53.803974,-42,37.7,0.0,10.7,5.8,3721321465,22,1
2026-03-26 22:23:53.803993,-42,30.0,0.0,9.8,5.8,3841923806,22,1
